2026-02-28 11:04:09 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /logout | Trust reduced to 85
2026-02-28 11:04:09 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 11:04:09 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 11:04:09 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 11:04:09 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 11:24:43 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /logout | Trust reduced to 85
2026-02-28 11:24:43 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 11:24:43 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 11:24:43 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 11:24:43 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 11:25:27 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /logout | Trust reduced to 85
2026-02-28 11:25:27 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 11:25:27 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 11:25:27 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 11:25:27 | USER=alan | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 11:35:49 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /favicon.ico | Trust reduced to 85
2026-02-28 11:35:49 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 11:35:49 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 11:35:49 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 11:35:49 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 12:05:16 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /.well-known/appspecific/com.chrome.devtools.json | Trust reduced to 85
2026-02-28 12:05:16 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 12:05:16 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 12:05:16 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 12:05:16 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 12:15:53 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /logout | Trust reduced to 85
2026-02-28 12:15:53 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 12:15:53 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
2026-02-28 12:15:53 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 40
2026-02-28 12:15:53 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 25
2026-02-28 12:42:31 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /logout | Trust reduced to 85
2026-02-28 12:42:31 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 70
2026-02-28 12:42:31 | USER=admin | ⚠ SUSPICIOUS | RBAC violation accessing /restricted | Trust reduced to 55
